title,plot,director,cast,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western
When Death Calls,"Disc jockey Roxy Richards encourages her listeners to call in and share scary stories during a live broadcast on Halloween night: A psycho stalks an elementary school teacher, an adulterous one night stand goes horrifically awry, a young couple who decide to stay in find themselves in great danger, an engaged woman gets terrorized by a predatory monster that lives in the basement of her ...",Jim Haggerty,"Suzi Lorraine, Tina Krause, Nathalie Bryant, Jae Mosc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Medicine,"A middle school in a small college town was recently shut down because of mysterious toxins found on the premise. These toxins were cause by a secret eugenics program gone wrong. Tonight, a group of college friends discover the abandoned school, and decide to explore it just for fun. Once inside, they soon realize that that school is not so abandoned.",Tariq Nasheed,"Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sexy Durga,"Durga, a north Indian migrant and a Keralite youth named Kabeer are running away on a midnight. They are waiting for a transport to the nearest railway station to catch a train to a distant place. Two small time gangsters, transporting arms, offer assistance to the couple. The hapless ""Durga"" encounters a cross section of the society through the rest of the night. Parallel to the journey of Durga...",Sanal Kumar Sasidharan,"Rajshri Deshpande, Bilas Nair, Arun Sol, Sujish",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Circus of the Dead,A man becomes entangled in a deadly morality game when the circus comes to town and a sadistic clown forces him to examine the things in life he takes for granted in the most horrific ways.,Billy Bloody Bill Pon,"Bill Oberst Jr, Parrish Randall, Chanel Ryan, Roger Edwards",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zombie Resurrection,"15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life.","Jake Hawkins, Andy Phelps","Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falling,"After the death of his wife, Sarah, young widower Malcolm is reluctantly trying to put his life back together with the help of his plucky sisterinlaw, Dee. When he meets Nya, a free spirited young woman, things seem to be looking up... until he starts seeing his dead wife everywhere, and shes not too happy about the fact that hes dating again.",Ali Askari,"Josh Helman, Yael Stone, Jennifer Allcott, Paul Sorvino",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Bad Behavior,"Turner takes his friends out to a cabin in the woods. When they get there, they find out that their bad behavior will give way to a sinister turn of events.",Curtis Everitt,"John Langston, Amelia Blue, Rex Roby, Peyton Hicks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil's Tower,"When Sids friend goes missing, he and new girl Sarah investigate disappearances in their tower block. Uncovering the secret of a vengeful ghost possessing a horde of zombies, they must fight for their lives  and their souls.",Owen Tooth,"Jason Mewes, Roxanne Pallett, Frances Ruffelle, JessicaJane Stafford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Am ZoZo,"I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon. The film is based on real experiences with an ancient and malevolent spirit called ZoZo that attaches itself to people exclusively through Ouija boards. I Am ZoZo was shot last fall on location on San Juan Island, WA and Seattle entirely on Kodak ...",Scott Di Lalla,"Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Before Dawn,An estranged couples vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead,Dominic Brunt,"Dominic Brunt, Joanne Mitchell, Eileen OBrien, Nicky Evans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apparition,"When Dougs fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave.",Quinn Saunders,"Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Don't Look in the Basement 2,"In 1972, the patients and doctors at Stephens Sanitarium were brutally murdered. Over forty years later, the only known survivor returns only to find the ghosts of the past have not been resting in peace.",Tony Brownrigg,"Andrew Sensenig, Frank Mosley, Arianne Martin, Jim ORear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2: Voodoo Academy,"Young hot travelers are sidelined by a road blocked with fallen trees, and stop for a night at the mansion belonging to sexy Sebastian. The house has a history of voodoo, mayhem and horror, and new arrivals are fresh meat for the hungry house...",David DeCoteau,"Alex Fox, Michelle Bauer, Brandon Schinaman, Josh Randall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return of the Killer Shrews,"Fiftythree years after being attacked by killer shrews on a remote island, Captain Thorne Sherman is hired by a reality television crew to return to the island in question. The shrews attack again in short order.",Steve Latshaw,"John Schneider, Jennifer Lyons, Bruce Davison, James Best",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Septic Man,A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation.,Jesse Thomas Cook,"Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Perfect House,"A young couples dream home turns into a house of horrors when the disturbing, violent acts of three generations of doomed families is reawakened for them to witness.","Kris Hulbert, Randy Kent","Felissa Rose, Jonathan Tiersten, John Philbin, Dustin Stevens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Her Cry: La Llorona Investigation,"Crew of ""Paranormal Legends"" went to film their 4th season at the place where La Llorona (Weeping woman) was reportedly seen. Only thing thats left was 17 hours of tapes and 2 camcorders.",Damir Catic,"Nichole Ceballos, James Ezrin, Ron Gelner, Everardo Guzman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Canadoo,"When five famehungry millennials are chosen to be contestants on a reality survival TV show, it appears they have been given a chance at celebrity stardom  but when a mixture of strange discoveries, unexplained occurrences, and mysterious disappearances plague the group, they begin to turn on one another, wondering if they are actually on a game show or if someone playing a game of their own.",Raymond Wood,"Tyler Buckingham, Alina Lia, Dréy Wigfall, Ali Roberts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inoperable,"A young woman wakes up in a seemingly evacuated hospital with a hurricane approaching that has awakened malevolent forces inside. She realizes she must escape the hospital before the hurricane passes, or she will be trapped there forever.",Christopher Lawrence Chapman,"Danielle Harris, Katie Keene, Chris Hahn, Jeff Denton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellriser,"When their city is rocked by a series of brutal occult murders, veteran detective John Locke and his young partner Terri Keyes are forced to put aside their differences and follow the trail of evidence to a formerly abandoned asylum.",Steve Lawson,"Steven Dolton, Charlie Bond, Nathan Head, Raven Lee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaamirukka Bayamey,Is a ghost haunting Kirans ancestral property? Or is it a conmans master moves?,Deekay,"Krishna Sekhar, Rupa Manjari, Karunakaran, Oviya",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grindsploitation,Exploitation anthology from the twisted minds of established and up and coming directors from across the globe.,"Lloyd Kaufman, James Atkins, Dustin Austen","PJ Soles, Lloyd Kaufman, Shawn C Phillips, Shane Ryan",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ular Tangga,An indigo student who can see something bad is going to happen who come through a dream with her plan and friends for hiking a mountain but no one believe her.,Arie Azis,"Ahmad Affandy, Alessia Cestaro, Shareefa Daanish, Egy Fedly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ek Thi Daayan,A popular illusionist is haunted by a Daayan witch.,Kannan Iyer,"Emraan Hashmi, Konkona Sen Sharma, Kalki Koechlin, Huma Qureshi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Haunted House on Sorority Row,A fledging sorority moves into a dilapidated house only to find something evil is lurking in the shadows. Is it an elaborate hazing ritual? Or is something sinister  something paranormal  behind the mental and physical assault?,Henrique Couto,"Erin R Ryan, Marylee Osborne, Iabou Windimere, Joni Durian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victimized,Matt Miller has spent his entire life living in the shadows of his brother. He believes if his brother were to disappear then so would all his problems. So one deadly night Matt decides to take matters into his own hands.,Michael Kenneth Fahr,"Michael Kenneth Fahr, Sarah Nicklin, Cuyle Carvin, Ellen J Pilch",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Unwanted,"In this Southern Gothic retelling of Sheridan Le Fanus vampire story Carmilla, a young drifter (Christen Orr) arrives in a rural town seeking the whereabouts of the mother she never knew. When she becomes sexually involved with an emotionally fragile waitress (Hannah Fierman), she exposes the secret of her mothers disappearance and incites the wrath of the girls overprotective father (...",Bret Wood,"Hannah Fierman, Christen Orr, William Katt, Lynn Talley",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Hotel Inferno,"A coldblooded seasoned contract killer is hired to take out a couple hidden in a hotel, but he will soon need to fight not only for his life but also for his soul, as this seemingly easy task will turn the hunter into prey.",Giulio De Santi,"Rayner Bourton, Michael Howe, Jessica Carroll, Christian Riva",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demonte Colony,"After consuming liquor, four friends decide to do something interesting and visit a haunted bungalow. However, they do not realize that they have returned home with an evil spirit.",R Ajay Gnanamuthu,"Arulnidhi, Ramesh Thilak, Sananth, MS Bhaskar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Play Motel,A reporter and his girlfriend investigate deaths surrounding a hotel where several prominent people go to have sex.,Mario Gariazzo,"Ray Lovelock, Anna Maria Rizzoli, Mario Cutini, Antonella Antinori",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Turned,"When Jack, a rough and tough vampire slayer, is bitten by his archnemesis Monty, he has but one day left to live before he becomes the very thing he has been hunting for most of his life.",Chris R Notarile,"Josh Rothman, Christian Chase, Roberto Lombardi, Athena Brensberger",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miss Zombie,A Japanese family acquires an undead domestic servant whose presence begins to effect their daily lives.,SABU,"Makoto Togashi, Ayaka Komatsu, Tôru Tezuka, Tarô Suruga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatal Frame,"Michi a student in a conservative allgirls school, must resolve the mysterious disappearances and deaths of her fellow classmates after they found an intriguing but haunting photo of Aya, the best singer of class, who apparently is being held locked in her room, physically but not spiritually... A death curse is placed on anyone who sees Ayas photo, which seems to be taken with a ""Camera ...",Mari Asato,"Aoi Morikawa, Ayami Nakajô, Kôdai Asaka, Minori Hagiwara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visceral: Entre las cuerdas de la locura,A washedup boxer finally gets his big chance to prove that he is worthy of the champions gloves on his muchawaited title fight.,Felipe Eluti,"Felipe Eluti, Carolina Salles, Felipe Ruiz, José Manuel García",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Castle,"A newlywed couple who go on their honeymoon in St Jean Le Vieux, France are kidnapped by a local mysterious cult.",Sasha Mahé,"Rachel Albert, Bruno Henry, Laurent Paris, Rahajeng Sekar Putri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Ouija Exorcism,"In 1985, a celebrated exorcist trapped a horrific demon inside a ouija board. Thinking the board to be a game, his son played without obeying the rules, and let the demon loose. In order to save his son, the exorcist sent him far away until the demon could be destroyed. Thirty years later, and after his death, his grandson finds the board and makes the same mistake his father did. Now the evil is...",Nick Slatkin,"J Damian Anastasio, Brittney Bertier, Cameron Bigelow, Jay Brothers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldiers of the Damned,An evil secret awaits.,Mark Nuttall,"Gil Darnell, Miriam Cooke, Lucas Hansen, Tom Sawyer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Smothered,"Five horror icons ditch an unprofitable autograph signing convention to earn some extra cash haunting an RV park, but find themselves being haunted instead.",John Schneider,"Kane Hodder, RA Mihailoff, Bill Moseley, Dane Rhodes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necrophobia 3D,"Dante is a tailor who after losing his twin brother to death became phobic which prevents him from being in contact with death. Whenever he is in front of a dead body, he experiences a creepy feeling that makes him lose his mind.",Daniel de la Vega,"Luis Machín, Raúl Taibo, Viviana Saccone, Gerardo Romano",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Roommate,"Harumi Hagiwara lands in the hospital after being involved in an accident. She hits it off with her nurse, Reiko Nishimura, and the two decide to move in together after shes discharged. However, Harumi begins to witness a series of mysterious events soon after noticing Reikos strange behavior. Additionally, she fears for her own safety when Reiko starts referring to herself as Mari as if ...",Takeshi Furusawa,"Keiko Kitagawa, Kyoko Fukada, Kengo Kôra, Mariko Tsutsui",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hate Crime,"A Jewish family, that just arrived in a new neighborhood, are recording their youngest sons birthday celebrations on video when their home is suddenly invaded by a bunch of crystalmethcrazed NeoNazi lunatics.",James Cullen Bressack,"Jody Barton, Nicholas Adam Clark, Greg Depetro, Debbie Diesel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Scars,"SCARS is a psychological thriller, written and directed by Canadian filmmaker Sean K Robb. In this stark and disturbing story, Scar  a ravenhaired punk with blood under her fingernails  and Scarlett  a blond beauty with a penchant for extortion  discover that they enjoy killing men together. Killing dudes is easy, says Scar, as the two women embark on a violent and ruthless killing spree,...",Sean K Robb,"Danielle Cole, Neale Kimmel, Matt Wells, Eric Regimbald",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legend Has It,"A family of four was brutally slaughtered years in their farmhouse, and the killer was never caught. Now, a young film crew returns to find the bloody truth of the murders. Will they come out alive?",Max Nikoff,"Todd Oeltze, Julia Fazakerly, Heath Finn, Amanda Ward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sociopathia,"Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When shes hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to...","Ruby Larocca, Rich Mallery","Nicola Fiore, Asta Paredes, Ruby Larocca, Tammy Jean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echoes,"Struggling with horrifying, sleepparalysis induced visions, a young writer retreats with her boyfriend to an isolated desert house. As the visions intensify, she finds herself on the verge of losing her mind...or uncovering a lifethreatening secret.",Nils Timm,"Kate French, Steven Brand, Steve Hanks, Billy Wirth",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Dabbe: Bir Cin Vakasi,"Turkish director Hasan Karacadag is something of an unusual case. In a nation that appears uncertain how to feel about its own history with exploitation film and generally reluctant to embrace genre film  though there are obvious exceptions  Karacadag has jumped headlong into the horror pool. The director first came to attention with the Jhorror influenced D@BB, a surprise hit in Turkey that ...",Hasan Karacadag,"Elcin Atamgüc, Nihan Aypolat, Pervin Bagdat, Elif Erdal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Haunter of the Dark,"Alexey ""Blake"" Blochenkov goes to an old abandoned sanatorium to film a video for his blog. There, he lets out something horrible. An ancient evil. The Haunter Of The Dark.",Dmitriy Khmelyov,"Sergey A, Giza, Dmitriy Khmelyov, Vladislav Krivenchuk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hectic Knife,"A put upon, knife wielding vigilante, Hectic Knife protects the city from scum, baddies and a new super villain bent on world domination, Piggly Doctor.",Greg DeLiso,"Peter Litvin, Georgia Kate Haege, JJ Brine, John Munnelly",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toxin: 700 Days Left on Earth,"700 days after the US president announces a new, rapidly spreading virus, a resulting plague has killed most of humanity and transformed the rest into mutants. The sole survivor, Sarah Teller (Sarati), and her canine companion, Ranger (Max the Dog), struggle valiantly to find a cure and restore the human race. When a mysterious force pulls her to a displaced mansion deep in the Texas hills, ...",Shawn Welling,"Lee Majors, Isabella BlakeThomas, Sarati, Elizabeth BlakeThomas",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La Niña de la Mina,"Arter a tourist disappears inside a mine in Guanajuato, Mat Medina a young expert in mine engineering is hired to make a security diagnostic in the mines of a big company.",Jorge Eduardo Ramírez,"Gerardo Taracena, Regina Blandón, Daniel Martínez, Thomas Ebert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beneath the Old Dark House,"Four strangers suddenly awaken deep within the catacombs of a dark and decrepit House, with no memory of how they got there. The only thing they have in common is their being held captive by a Mysterious Man, and it is there in his domain, that he waits to tell these helpless strangers the fates that await them in Beneath the Old Dark House.","Jaysen P Buterin, Matt Cloude, Jesse H Knight","Mandy Divine, Tom Gore, Bradley Eugene Greer, KelliAnne Harris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stag Hunt,A stag do in Dartmoor goes horribly wrong when the guys discover they are not alone.,James Shanks,"Mackenzie Astin, Neil Cole, Chris Rogers, Donald Morrison",0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Fetish Dolls Die Laughing,"Do you remember, as a child, when your parents teased you with the ""Tickle Monster""? It turns out that hes more real (and even more malevolent) than you could have ever imagined! With seedy photographer Billy Tagg (Michael McGovern) serving as the ancient entitys latest vessel, the Tickle Monster torments his way through a catalog of Billys beautiful bondage babes  until nononsense homicide ...",David Silvio,"Laura Romeo, Michael McGovern, Aaron Bernard, Angelo Bruni",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shame the Devil,"A London detective tracking a serial killer finds the killers ""truth or die"" methods take him to New York to solve the case.",Paul Tanter,"Simon Phillips, Juliette Bennett, Will de Meo, Bradford West",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Holla II,"After narrowly escaping with her life at the hands of her mentally ill sister Veronica, Monica, with the help of her Mother, Marion, has taken great measures to ensure her safety, including changing her face and relocating to the South. Six years has past and now she finally believes she is safe from Veronica. Little does she know that death and betrayal still await her and her friends on the eve...",HM Coakley,"Vanessa Bell Calloway, Kiely Williams, Greg Cipes, Trae Ireland",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Made Me Do It,"College student Ali Hooper and her little brother are attacked by a masked maniac, and the key to them surviving the night lies in unlocking a secret from the killers past.",Benjamin Ironside Koppin,"Anna B Shaffer, Kyle Van Vonderen, Cortney Palm, Jason Gregory London",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
The Tale of the Voodoo Prostitute,"In the Tale of the Voodoo Prostitute, a master manipulator and hustler by the name of Fleetwood Deville dispenses heinous wrongdoings to nearly everyone that crosses his path. One particular female managed to meet and exceed any expectation of evil. She cursed Fleetwood to a fate even worse than death: impotence. With his harem of beautiful women and killers, Fleetwood must rival neighboring ...",Chaz Buchanan,"Jayde Kelley, Heather McCormick, Charles Buchanan, Martin Ezelle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necrophile Passion,"Solitary and alone, left by his girlfriend, after being treated badly by her, a young man finds a female body in the woods. His conscience tells him to call the police, but something inside him, something evil commands him to take the corpse with him and satisfy his darkest desires. His Life is total pieces of trash and only the love to the female corpse gives him the power to continue his life. ...",Tom Heidenberg,"Günther Brandl, Eldrid Remy, Katharina Buchberger, Sandra Pucher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer Campout,Two youth counselors bring a group of emotionally troubled teens deep into the woods for a weekend of solitude and confrontational therapy. The trip turns deadly when they are terrorized by a cannibalistic hermit with a thirst for blood.,Brad Twigg,"Herschell Gordon Lewis, John A Russo, Nadia White, George Stover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honeyspider,"Its Halloween day in 1989 and college student Jackie Blue wants to enjoy a quiet birthday in the midst of a chaotic semester at school. Her friend Amber has other ideas and persuades Jackie to come to the annual Monster Mash party on campus after her shift at the local movie theater. As murder plays out on the silver screen during the theaters Halloween night Horrorthon, Jackie falls under a ...",Josh Hasty,"Frank J Aard, Anjali AlmBasu, Brad Baker, Katie Bearden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pinwheel,"A decade after her mothers murder, Riley Canterbury must return home, after her neglectful, carnival owner father has gone missing. She soon realizes things in this small New England town are much stranger and sinister than she remembered. 10 years after the gruesome murder of her mother, Riley, now 25, is barely skating by in her run down Los Angeles apartment. Upon receiving word that her ...",Daniel Dahlstrom,"Julie Ann Dawson, Ashley Couture, David Gere, Ox Baker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Walkers: Rise of the 4th Reich,"In 1945 the Second World War came to an end and the Nazis fled. Scientists and military elite escaped across borders and found themselves in new worlds. Some fled to Russia, some the United States and others to South America. But there was another division, a forgotten group. A top secret and powerful team of men and women formed in the womb of the Nazi Occult. Now, decades after the war, their ...",Philip Gardiner,"Philip Berzamanis, Jane Haslehurst, Bob Lee, Nathan Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demon Tongue,Four paranormal students get much more than they bargained for at a secluded beach volleyball complex.,Gavin Rapp,"Jack Davis, Debbie College, Seth Gontkovic, Jessica Long",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasitic,"A group of friends become trapped inside a nightclub with an unseen terror. Unable to escape, one at a time they fall victim to the ravenous, bloodthirsty beast.",Tim Martin,"Camille Balsamo, Amanda Beck, Carrie Carnes, Miguel de la Rosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True Love Ways,"After a recurring dream Séverine decides she needs to get away from her boyfriend Tom for a couple of days. Tom makes a deal with a man he meets at a bar: Séverine will be kidnapped. Tom rescues her from the clutches of the kidnappers, and will become her savior. However what Tom does not know is that his new made friend has a different plan with Séverine. Faced with violent criminals and her own...",Mathieu Seiler,"Anna Hausburg, David C Bunners, Kai Michael Müller, Michael Greiling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hole,Ed Kunkle is a convicted felon tormented by his own demons. Eve Adams is a single woman trying to cope with a tragic loss. Bodie Jameson is the detective looking for answers. All 3 lives intertwine with horrific consequences when their fears come upon them.,Joaquin Montalvan,"Jim Barile, Randall Barnes, Charlotte Bjornbak, Alina Bolshakova",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Loverboy,"When Lauren Reynolds, a beautiful girl with a painful home life, breaks it off with her drugaddict ex, Matt, she is ready to give up on dating all together. Between raising her two younger brothers, working a meaningless ninetofive with her best friend, and trying to talk sense into her physically abused mother, Lauren doesnt have much time or desire for a new man. Things change when Lauren ...",Erica Summers,"Kaitlyn Ale, Mildred Ciraco, Vincent Ciraco, Dorian Council",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
